VideoName,Frame_Number,Contrast,ANN,Movement
01MarchEve04,1500,NA,NA,NA
01MarchEve04,8500,NA,NA,NA
01MarchEve04,9500,NA,NA,NA
01MarchEve04,11500,NA,NA,NA
01MarchEve04,13000,NA,NA,NA
01MarchEve04,16000,NA,NA,NA
02MarchMor01,2000,NA,NA,NA
02MarchMor01,2500,NA,NA,NA
02MarchMor01,3500,NA,NA,NA
02MarchMor01,5500,NA,NA,NA
02MarchMor01,6500,NA,NA,NA
02MarchMor01,7500,NA,NA,NA
02MarchMor01,9500,NA,NA,NA
02MarchMor01,12000,NA,NA,NA
02MarchMor01,13000,NA,NA,NA
02MarchMor01,15000,NA,NA,NA
03MarchMor0304,3500,NA,NA,NA
03MarchMor0304,5000,NA,NA,NA
03MarchMor0304,5500,NA,NA,NA
03MarchMor0304,9500,NA,NA,NA
03MarchMor0304,13500,NA,NA,NA
03MarchMor0304,15000,NA,NA,NA
03MarchMor0304,15500,NA,NA,NA
04MarchMor04,3000,NA,NA,NA
04MarchMor04,5000,NA,NA,NA
04MarchMor04,6000,NA,NA,NA
04MarchMor04,6500,NA,NA,NA
04MarchMor04,7000,NA,NA,NA
04MarchMor04,8000,NA,NA,NA
04MarchMor04,9500,NA,NA,NA
04MarchMor04,11000,NA,NA,NA
04MarchMor04,12000,NA,NA,NA
04MarchMor04,13000,NA,NA,NA
04MarchMor04,13500,NA,NA,NA
04MarchMor04,14000,NA,NA,NA
10MarchMor01,6000,NA,NA,NA
10MarchMor01,8000,NA,NA,NA
10MarchMor01,15000,NA,NA,NA
16MarchMor0506,500,NA,NA,NA
16MarchMor0506,1500,NA,NA,NA
16MarchMor0506,2000,NA,NA,NA
16MarchMor0506,3000,NA,NA,NA
16MarchMor0506,3500,NA,NA,NA
16MarchMor0506,4500,NA,NA,NA
16MarchMor0506,5000,NA,NA,NA
16MarchMor0506,5500,NA,NA,NA
16MarchMor0506,6500,NA,NA,NA
16MarchMor0506,7500,NA,NA,NA
16MarchMor0506,8000,NA,NA,NA
16MarchMor0506,10000,NA,NA,NA
16MarchMor0506,12000,NA,NA,NA
16MarchMor0506,12500,NA,NA,NA
16MarchMor0506,13000,NA,NA,NA
16MarchMor0506,13500,NA,NA,NA
16MarchMor0506,14500,NA,NA,NA
17MarchMor0506,500,NA,NA,NA
17MarchMor0506,1000,NA,NA,NA
17MarchMor0506,2000,NA,NA,NA
17MarchMor0506,2500,NA,NA,NA
17MarchMor0506,4500,NA,NA,NA
17MarchMor0506,5000,NA,NA,NA
17MarchMor0506,6000,NA,NA,NA
17MarchMor0506,7000,NA,NA,NA
17MarchMor0506,7500,NA,NA,NA
17MarchMor0506,9000,NA,NA,NA
17MarchMor0506,10500,NA,NA,NA
17MarchMor0506,11500,NA,NA,NA
17MarchMor0506,14500,NA,NA,NA
25MarchEve0102,500,NA,NA,NA
25MarchEve0102,1000,NA,NA,NA
25MarchEve0102,3500,NA,NA,NA
25MarchEve0102,4000,NA,NA,NA
25MarchEve0102,4500,NA,NA,NA
25MarchEve0102,6500,NA,NA,NA
25MarchEve0102,7000,NA,NA,NA
25MarchEve0102,8500,NA,NA,NA
25MarchEve0102,10000,NA,NA,NA
25MarchEve0102,10500,NA,NA,NA
25MarchEve0506,2000,NA,NA,NA
25MarchEve0506,3000,NA,NA,NA
25MarchEve0506,4000,NA,NA,NA
25MarchEve0506,4500,NA,NA,NA
25MarchEve0506,5500,NA,NA,NA
25MarchEve0506,6500,NA,NA,NA
25MarchEve0506,7500,NA,NA,NA
25MarchEve0506,8000,NA,NA,NA
25MarchEve0506,9000,NA,NA,NA
25MarchEve0506,10000,NA,NA,NA
25MarchEve0506,11500,NA,NA,NA
25MarchEve0506,12500,NA,NA,NA
25MarchEve0506,13500,NA,NA,NA
26MarchEve0102,2000,NA,NA,NA
26MarchEve0102,3000,NA,NA,NA
26MarchEve0102,4000,NA,NA,NA
26MarchEve0102,4500,NA,NA,NA
26MarchEve0102,8500,NA,NA,NA
26MarchEve0102,10000,NA,NA,NA
26MarchEve0102,11000,NA,NA,NA
26MarchEve0102,15500,NA,NA,NA
MVI_0047,1500,NA,NA,NA
MVI_0047,5000,NA,NA,NA
MVI_0047,6100,NA,NA,NA
MVI_0047,8000,NA,NA,NA
MVI_0047,11500,NA,NA,NA
MVI_0047,12500,NA,NA,NA
MVI_0047,16000,NA,NA,NA
MVI_0047,16500,NA,NA,NA
MVI_0047,17000,NA,NA,NA
MVI_0047,17100,NA,NA,NA
MVI_0047,17800,NA,NA,NA
MVI_0047,18300,NA,NA,NA
MVI_0048,500,NA,NA,NA
MVI_0048,1500,NA,NA,NA
MVI_0048,3500,NA,NA,NA
MVI_0048,6500,NA,NA,NA
MVI_0048,7000,NA,NA,NA
MVI_0048,9000,NA,NA,NA
MVI_0048,10500,NA,NA,NA
MVI_0048,12000,NA,NA,NA
MVI_0048,12500,NA,NA,NA
MVI_0048,16000,NA,NA,NA
MVI_0048,17500,NA,NA,NA
MVI_0049,500,NA,NA,NA
MVI_0049,1500,NA,NA,NA
MVI_0049,5500,NA,NA,NA
MVI_0049,6000,NA,NA,NA
MVI_0049,6500,NA,NA,NA
MVI_0049,7500,NA,NA,NA
MVI_0049,8000,NA,NA,NA
MVI_0049,8500,NA,NA,NA
MVI_0049,13500,NA,NA,NA
MVI_0049,15500,NA,NA,NA
MVI_0049,16500,NA,NA,NA
MVI_0050,2500,NA,NA,NA
MVI_0050,4500,NA,NA,NA
MVI_0050,10000,NA,NA,NA
MVI_0050,12000,NA,NA,NA
MVI_0050,14000,NA,NA,NA
MVI_0050,15500,NA,NA,NA
MVI_0050,16000,NA,NA,NA
MVI_0050,16500,NA,NA,NA
MVI_0051,4500,NA,NA,NA
MVI_0051,5500,NA,NA,NA
MVI_0051,6000,NA,NA,NA
MVI_0051,6500,NA,NA,NA
MVI_0051,7000,NA,NA,NA
MVI_0051,8000,NA,NA,NA
MVI_0051,9000,NA,NA,NA
MVI_0051,15000,NA,NA,NA
MVI_0051,15500,NA,NA,NA
MVI_0051,17500,NA,NA,NA
MVI_0131,2000,NA,NA,NA
MVI_0131,7500,NA,NA,NA
MVI_0131,8000,NA,NA,NA
MVI_0131,10500,NA,NA,NA
MVI_0131,13000,NA,NA,NA
MVI_0131,13500,NA,NA,NA
MVI_0131,15000,NA,NA,NA
MVI_0131,18500,NA,NA,NA
MVI_0132,2000,NA,NA,NA
MVI_0132,4500,NA,NA,NA
MVI_0132,5500,NA,NA,NA
MVI_0132,6000,NA,NA,NA
MVI_0132,6500,NA,NA,NA
MVI_0132,7000,NA,NA,NA
MVI_0132,8000,NA,NA,NA
MVI_0132,8500,NA,NA,NA
MVI_0132,12000,NA,NA,NA
MVI_0132,14500,NA,NA,NA
MVI_0132,15000,NA,NA,NA
MVI_0132,16500,NA,NA,NA
MVI_0132,18500,NA,NA,NA
MVI_0133,2000,NA,NA,NA
MVI_0133,4500,NA,NA,NA
MVI_0133,5500,NA,NA,NA
MVI_0133,6500,NA,NA,NA
MVI_0133,10000,NA,NA,NA
MVI_0133,10500,NA,NA,NA
MVI_0133,13000,NA,NA,NA
MVI_0133,14500,NA,NA,NA
MVI_0133,18500,NA,NA,NA
MVI_0134,2500,NA,NA,NA
MVI_0134,3000,NA,NA,NA
MVI_0134,5300,NA,NA,NA
MVI_0134,8900,NA,NA,NA
MVI_0134,9500,NA,NA,NA
MVI_0134,10000,NA,NA,NA
MVI_0134,11000,NA,NA,NA
MVI_0134,14500,NA,NA,NA
MVI_0134,16500,NA,NA,NA
MVI_0134,17500,NA,NA,NA
MVI_0135,1000,NA,NA,NA
MVI_0135,3000,NA,NA,NA
MVI_0135,5500,NA,NA,NA
MVI_0135,8000,NA,NA,NA
MVI_0135,10000,NA,NA,NA
MVI_0135,11500,NA,NA,NA
MVI_0135,17500,NA,NA,NA
v57_0010,1000,NA,NA,NA
v57_0010,3000,NA,NA,NA
v57_0010,3500,NA,NA,NA
v57_0010,4500,NA,NA,NA
v57_0010,6500,NA,NA,NA
v57_0010,8000,NA,NA,NA
v57_0010,10000,NA,NA,NA
v57_0010,11500,NA,NA,NA
v57_0010,13000,NA,NA,NA
v57_0010,13500,NA,NA,NA
v57_0010,14000,NA,NA,NA
v57_0010,14500,NA,NA,NA
v57_0010,16000,NA,NA,NA
v57_0011,500,NA,NA,NA
v57_0011,5500,NA,NA,NA
v57_0011,6000,NA,NA,NA
v57_0011,8500,NA,NA,NA
v57_0011,10500,NA,NA,NA
v57_0011,12000,NA,NA,NA
v57_0011,14000,NA,NA,NA
v57_0011,14500,NA,NA,NA
v57_0011,15500,NA,NA,NA
v57_0012,2500,NA,NA,NA
v57_0012,4000,NA,NA,NA
v57_0012,6500,NA,NA,NA
v57_0012,9000,NA,NA,NA
v57_0012,9500,NA,NA,NA
v57_0012,11000,NA,NA,NA
v57_0012,11500,NA,NA,NA
v57_0012,13500,NA,NA,NA
v57_0012,17500,NA,NA,NA
V72_0002,500,NA,NA,NA
V72_0002,5500,NA,NA,NA
V72_0002,6000,NA,NA,NA
V72_0002,7500,NA,NA,NA
v72_0002,7500,NA,NA,NA
V72_0002,9000,NA,NA,NA
v72_0002,13500,NA,NA,NA
v72_0002,14500,NA,NA,NA
V72_0002,19000,NA,NA,NA
V72_0002,23000,NA,NA,NA
v72_0004,1500,NA,NA,NA
v72_0004,2000,NA,NA,NA
v72_0004,4500,NA,NA,NA
v72_0004,6500,NA,NA,NA
v72_0004,7500,NA,NA,NA
V72_0004,11500,NA,NA,NA
v72_0004,12000,NA,NA,NA
V72_0004,13000,NA,NA,NA
v72_0004,17500,NA,NA,NA
v72_003,1500,NA,NA,NA
v72_003,4500,NA,NA,NA
v72_003,5000,NA,NA,NA
v72_003,5500,NA,NA,NA
v72_003,7500,NA,NA,NA
v72_003,8500,NA,NA,NA
v72_003,10500,NA,NA,NA
v72_003,11000,NA,NA,NA
v72_003,11500,NA,NA,NA
v72_003,17000,NA,NA,NA
v72_003,17500,NA,NA,NA
v82_001,3000,NA,NA,NA
v82_001,4000,NA,NA,NA
v82_001,5500,NA,NA,NA
v82_001,6500,NA,NA,NA
v82_001,7000,NA,NA,NA
v82_001,9000,NA,NA,NA
v82_001,14500,NA,NA,NA
v82_002,5500,NA,NA,NA
v82_002,9500,NA,NA,NA
v82_003,1000,NA,NA,NA
v82_003,1500,NA,NA,NA
v82_003,3500,NA,NA,NA
v82_003,4000,NA,NA,NA
v82_003,5000,NA,NA,NA
v82_003,5500,NA,NA,NA
v82_003,6000,NA,NA,NA
v82_003,6500,NA,NA,NA
v82_003,9000,NA,NA,NA
v82_003,9500,NA,NA,NA
v82_003,12000,NA,NA,NA
v82_003,14500,NA,NA,NA
v82_003,16500,NA,NA,NA
v99_0005,4000,NA,NA,NA
v99_0005,4500,NA,NA,NA
v99_0005,9000,NA,NA,NA
v99_0005,10000,NA,NA,NA
v99_0005,13000,NA,NA,NA
v99_0005,14000,NA,NA,NA
v99_0005,38500,NA,NA,NA
v99_0005,42000,NA,NA,NA
v99_0005,45500,NA,NA,NA
v99_0005,49500,NA,NA,NA
